Hour,Year,Day,DOY,Latitude,Longitude,Month,Electron_density_Ne,o+,NO,TEC,hmF2,foF2,profundidad,magnitud,tec_GIM
1,2017,1,244,14.7,261.98,9,4.90E+11,99,0.1,10.3,261.6,6.503,,,22
2,2017,1,244,14.7,261.98,9,3.10E+11,99.7,0.1,6.1,273.8,5.071,,,15.2
3,2017,1,244,14.7,261.98,9,2.04E+11,99.7,0.2,3.8,299.8,4.055,,,10.1
4,2017,1,244,14.7,261.98,9,1.50E+11,99.7,0.2,3,319.5,3.637,,,8.4
5,2017,1,244,14.7,261.98,9,1.39E+11,99.7,0.2,2.8,322.5,3.544,,,8
6,2017,1,244,14.7,261.98,9,1.44E+11,99.7,0.1,2.8,314.6,3.486,,,7.9
7,2017,1,244,14.7,261.98,9,1.50E+11,99.7,0.1,2.8,303.6,3.479,,,7.7
8,2017,1,244,14.7,261.98,9,1.53E+11,99.7,0.1,2.9,297.5,3.509,64.40,3.70,8.3
9,2017,1,244,14.7,261.98,9,1.36E+11,99.7,0.2,2.6,297.7,3.313,,,8
10,2017,1,244,14.7,261.98,9,1.06E+11,99.6,0.2,2.1,298.8,2.922,,,6.2
11,2017,1,244,14.7,261.98,9,1.05E+11,99.6,0.2,2.2,291.6,2.918,148.90,3.50,7.4
12,2017,1,244,14.7,261.98,9,1.65E+11,97.5,0.6,3.6,274.6,3.691,,,6.5
13,2017,1,244,14.7,261.98,9,2.65E+11,97.2,0.6,6.5,258.2,4.785,100.00,4.40,6
14,2017,1,244,14.7,261.98,9,3.45E+11,97.8,0.4,8.8,254,5.512,176.60,3.80,11.9
15,2017,1,244,14.7,261.98,9,4.06E+11,98.1,0.3,10.3,262.3,5.905,,,13.7
16,2017,1,244,14.7,261.98,9,5.10E+11,98.5,0.2,12.7,275,6.504,,,14.1
17,2017,1,244,14.7,261.98,9,6.88E+11,98.8,0.1,16.5,286.3,7.477,93.00,3.50,16
18,2017,1,244,14.7,261.98,9,8.92E+11,99,0.1,21,293.3,8.487,,,18.9
19,2017,1,244,14.7,261.98,9,1.07E+12,99.2,0.1,24.7,293.7,9.28,,,23.3
20,2017,1,244,14.7,261.98,9,1.19E+12,99.2,0.1,27.2,288,9.851,,,30.5
21,2017,1,244,14.7,261.98,9,1.25E+12,99.2,0.1,27.7,281.9,10.116,63.70,3.40,32.2
22,2017,1,244,14.7,261.98,9,1.18E+12,99.2,0.1,25.8,276.3,9.904,,,32.9
23,2017,1,244,14.7,261.98,9,9.90E+11,99.1,0.1,21.7,268.2,9.178,,,32.9
1,2017,2,245,14.7,261.98,9,4.99E+11,99,0.1,10.5,261,6.568,,,25.2
2,2017,2,245,14.7,261.98,9,3.14E+11,99.7,0.1,6.1,273.5,5.105,,,21.5
3,2017,2,245,14.7,261.98,9,2.06E+11,99.7,0.2,3.8,299.8,4.078,,,14.6
4,2017,2,245,14.7,261.98,9,1.51E+11,99.6,0.2,3,319.5,3.657,50.00,3.70,11.2
5,2017,2,245,14.7,261.98,9,1.40E+11,99.7,0.2,2.9,322.4,3.559,,,10
6,2017,2,245,14.7,261.98,9,1.45E+11,99.7,0.2,2.8,314.5,3.496,,,8.4
7,2017,2,245,14.7,261.98,9,1.50E+11,99.7,0.2,2.8,303.5,3.487,93.70,3.50,8.2
8,2017,2,245,14.7,261.98,9,1.53E+11,99.7,0.2,2.9,297.4,3.511,,,8.4
9,2017,2,245,14.7,261.98,9,1.36E+11,99.7,0.2,2.6,297.6,3.313,105.80,4.10,8.2
10,2017,2,245,14.7,261.98,9,1.06E+11,99.6,0.2,2.1,298.6,2.922,127.00,3.40,6.6
10,2017,2,245,14.7,261.98,9,1.06E+11,99.6,0.2,2.1,298.6,2.922,44.40,3.80,6.6
11,2017,2,245,14.7,261.98,9,1.06E+11,99.6,0.2,2.2,291.5,2.924,,,6.4
12,2017,2,245,14.7,261.98,9,1.66E+11,97.5,0.6,3.6,274.6,3.704,,,5.2
13,2017,2,245,14.7,261.98,9,2.66E+11,97.2,0.6,6.5,258.1,4.798,,,5.6
14,2017,2,245,14.7,261.98,9,3.46E+11,97.8,0.4,8.8,253.8,5.523,,,11.5
15,2017,2,245,14.7,261.98,9,4.07E+11,98.1,0.3,10.3,262,5.914,,,12.4
16,2017,2,245,14.7,261.98,9,5.11E+11,98.5,0.2,12.7,274.5,6.513,,,15.1
17,2017,2,245,14.7,261.98,9,6.88E+11,98.8,0.1,16.5,285.8,7.481,,,17.8
18,2017,2,245,14.7,261.98,9,8.92E+11,99,0.1,21,292.8,8.488,,,21.2
19,2017,2,245,14.7,261.98,9,1.07E+12,99.2,0.1,24.7,293.1,9.283,,,25.5
20,2017,2,245,14.7,261.98,9,1.20E+12,99.2,0.1,27.2,287.4,9.857,,,31.1
21,2017,2,245,14.7,261.98,9,1.25E+12,99.2,0.1,27.8,281.2,10.123,94.40,3.60,32.7
22,2017,2,245,14.7,261.98,9,1.18E+12,99.2,0.1,25.8,275.6,9.904,,,33.1
23,2017,2,245,14.7,261.98,9,9.85E+11,99.1,0.1,21.6,267.5,9.165,,,33.6
0,2017,3,246,14.7,261.98,9,7.32E+11,98.8,0.1,16.1,259.8,8.001,17.20,3.70,30.1
1,2017,3,246,14.7,261.98,9,4.94E+11,99,0.1,10.4,260.5,6.539,,,21
2,2017,3,246,14.7,261.98,9,3.10E+11,99.7,0.1,6.1,273.2,5.07,,,12.2
3,2017,3,246,14.7,261.98,9,2.03E+11,99.7,0.2,3.8,299.7,4.041,,,9.1
4,2017,3,246,14.7,261.98,9,1.49E+11,99.7,0.2,3,319.5,3.627,,,8.5
5,2017,3,246,14.7,261.98,9,1.39E+11,99.7,0.2,2.8,322.4,3.537,,,8.1
6,2017,3,246,14.7,261.98,9,1.44E+11,99.7,0.1,2.8,314.5,3.478,96.40,3.90,8.2
7,2017,3,246,14.7,261.98,9,1.49E+11,99.7,0.1,2.8,303.4,3.473,,,7.7
8,2017,3,246,14.7,261.98,9,1.52E+11,99.7,0.1,2.9,297.2,3.498,,,7.3
9,2017,3,246,14.7,261.98,9,1.35E+11,99.7,0.1,2.6,297.4,3.296,,,6.2
10,2017,3,246,14.7,261.98,9,1.05E+11,99.7,0.2,2.1,298.5,2.906,,,6.7
11,2017,3,246,14.7,261.98,9,1.05E+11,99.7,0.2,2.2,291.5,2.915,,,6.1
12,2017,3,246,14.7,261.98,9,1.66E+11,97.5,0.6,3.6,274.6,3.704,,,6.5
13,2017,3,246,14.7,261.98,9,2.67E+11,97.2,0.5,6.5,258.1,4.805,,,11.7
14,2017,3,246,14.7,261.98,9,3.48E+11,97.8,0.4,8.9,253.7,5.539,64.20,3.90,14.4
14,2017,3,246,14.7,261.98,9,3.48E+11,97.8,0.4,8.9,253.7,5.539,10.90,3.80,14.4
14,2017,3,246,14.7,261.98,9,3.48E+11,97.8,0.4,8.9,253.7,5.539,11.30,4.00,14.4
15,2017,3,246,14.7,261.98,9,4.11E+11,98.1,0.3,10.4,261.6,5.942,106.20,3.70,16.8
16,2017,3,246,14.7,261.98,9,5.16E+11,98.4,0.2,12.8,274,6.551,,,20.4
17,2017,3,246,14.7,261.98,9,6.94E+11,98.8,0.1,16.6,285.3,7.52,,,26
